user_name,tone,time_date,text,date_column,translated_text
cristiano ronaldo,positive,2022-12-09 20:33:00,h um mundial que portugal j ganhou o dos adeptos incrvel o apoio e o carinho que temos sentido de tantos portugueses e no s aqui no catar to longe da nossa ptria continuem a apoiar nos bons e nos maus momentos tudo faremos para retribuir com vitrias fora,2022-12-09 20:33:00,There is a World Cup that has earned the incredible supporters the support and affection we have felt for so many Portuguese and not here at the Qatar so far from our ptry continues to support the good and bad times we will do everything to return with vitrias abroad
cristiano ronaldo,neutral,2022-12-08 13:09:00,um grupo demasiado unido para ser quebrado por foras externas uma nao demasiado corajosa para se deixar atemorizar perante qualquer adversrio uma equipa no verdadeiro sentido da palavra que vai lutar pelo sonho at ao fim acreditem connosco fora portugal,2022-12-08 13:09:00,A group too united to be broken by external forces a non -brave to let it be affected by any opponent a team in the true sense of the word that will fight for the dream to end believe us outside Portugal
cristiano ronaldo,neutral,2022-12-04 18:17:00,,2022-12-04 18:17:00,Into
cristiano ronaldo,neutral,2022-12-02 17:56:00,primeiros dois objectivos alcanados apuramento e liderana no nosso grupo mas h ainda muito mais pela frente vamos portugal,2022-12-02 17:56:00,first two objectives achieved ascertained and leaders in our group but there is still much later on we go Portugal
cristiano ronaldo,neutral,2022-12-01 17:39:00,o apuramento est garantido mas queremos tambm o lugar no h limites para esta equipa nem para os nossos objectivos vamos por mais fora portugal,2022-12-01 17:39:00,The determination is guaranteed but we also want the place in H Limits for this team or for our objectives we will be more outside Portugal
cristiano ronaldo,neutral,2022-11-12 18:23:00,muitos parabns meu amor,2022-11-12 18:23:00,many congratulations my love
cristiano ronaldo,positive,2022-11-12 15:50:00,very happy is giving the next generation of football stars in asia the chance to shine the youngwarrior scholarship starts in singapore and will be in other parts of asia next year lets do this all info on,2022-11-12 15:50:00,very happy is giving the next generation of football stars in asia the chance to shine the youngwarrior scholarship starts in singapore and will be in other parts of asia next year lets do this all info on
cristiano ronaldo,neutral,2022-11-10 17:46:00,uma vez mais prontos para elevar bem alto o nome de portugal so os nomes na lista do mister fernando santos mas estamos todos convocados fora portugal,2022-11-10 17:46:00,Once again ready to raise the name of Portugal only the names on the list of Mister Fernando Santos but we are all summoned outside Portugal
cristiano ronaldo,positive,2022-11-03 20:31:00,we move on and we keep going after our goals this season thanks to our supporters that never give up on us,2022-11-03 20:31:00,we move on and we keep going after our goals this season thanks to our supporters that never give up on us
cristiano ronaldo,neutral,2022-10-12 16:43:00,when its time for you to take the stage drown out the noise find your voice and make it heard clearxcr clearmen beclearbefearless bethefirstyou,2022-10-12 16:43:00,when its time for you to take the stage drown out the noise find your voice and make it heard clearxcr clearmen beclearbefearless bethefirstyou
cristiano ronaldo,positive,2022-10-11 08:02:00,for every moment you see on the field there are countless moments you dont see off it from working out to nutrition to the community that makes me stronger its important to nourish every part of life lifewellnourished herbalife,2022-10-11 08:02:00,for every moment you see on the field there are countless moments you dont see off it from working out to nutrition to the community that makes me stronger its important to nourish every part of life lifewellnourished herbalife
